description,address,property_type,price,size,bedrooms,bathrooms,parking_spaces,contract_type,latitude,longitude
"Rua 21, SUL, AGUAS CLARAS",,apartamento,4500.0,148.0,3.0,,1.0,aluguel,-15.8390863,-48.0259111
"CSG 3, TAGUATINGA SUL, TAGUATINGA",,apartamento,2100.0,44.0,1.0,,1.0,aluguel,-15.8662108,-48.0340308
"Quadra 107 Rua E, NORTE, AGUAS CLARAS",,apartamento,2500.0,60.0,2.0,,1.0,aluguel,-15.8580029,-48.0338158
"QS 1 Rua 210, AREAL, AGUAS CLARAS",,apartamento,1000.0,33.0,1.0,,1.0,aluguel,,
"SQS 314, ASA SUL, BRASILIA",,apartamento,9500.0,170.0,3.0,,1.0,aluguel,-15.8164055,-47.9080336
"QMSW 6, SUDOESTE, BRASILIA",,kitnet,2500.0,30.0,1.0,,2.0,aluguel,-15.7946423,-47.921738
"Quadra 207, SUL, AGUAS CLARAS",,apartamento,7000.0,150.0,3.0,,3.0,aluguel,-29.9198671,-51.0635217
"Rua 37, NORTE, AGUAS CLARAS",,apartamento,2290.0,33.0,1.0,,,aluguel,-15.8348133,-48.0390942
"SQN 111 Bloco A, ASA NORTE, BRASILIA",,apartamento,12000.0,168.0,3.0,,2.0,aluguel,-15.7544848,-47.8883595
"CRS 513 Bloco C, ASA SUL, BRASILIA",,apartamento,1950.0,47.0,2.0,,,aluguel,,
"Rua 27, NORTE, AGUAS CLARAS",,apartamento,6800.0,130.0,3.0,,2.0,aluguel,-11.7151819,-49.1051762
"Quadra 56 Bloco A B Lote 06, SETOR CENTRAL, GAMA",,apartamento,1270.0,50.0,2.0,,,aluguel,,
"QNH Área Especial 4, TAGUATINGA NORTE, TAGUATINGA",,apartamento,1600.0,30.0,2.0,,,aluguel,-15.8042901,-48.085626
"QC 15, JARDINS MANGUEIRAL, BRASILIA",,apartamento,2000.0,48.0,2.0,,1.0,aluguel,-15.892737,-47.8043235
"QS 5 Rua 400, AREAL, AGUAS CLARAS",,apartamento,3000.0,180.0,5.0,,2.0,aluguel,-15.8540219,-48.0388214
"Rua ALECRIM, NORTE, AGUAS CLARAS",,apartamento,4000.0,96.0,3.0,,2.0,aluguel,-15.836772,-48.0177672
"CA 05, LAGO NORTE, BRASILIA",,apartamento,4000.0,74.0,2.0,,1.0,aluguel,-15.7196252,-47.8793711
"Rua ALECRIM, SUL, AGUAS CLARAS",,apartamento,3300.0,107.0,4.0,,1.0,aluguel,-15.836772,-48.0177672
"CRNW 510 Bloco B Lote 1, NOROESTE, BRASILIA",,apartamento,5300.0,54.0,2.0,,1.0,aluguel,,
"QN 5 Conjunto 4, RIACHO FUNDO, RIACHO FUNDO",,apartamento,1400.0,65.0,2.0,,,aluguel,-15.8807317,-48.0138024
"Rua 21, NORTE, AGUAS CLARAS",,apartamento,3800.0,96.0,3.0,,1.0,aluguel,-11.7154549,-49.10386
"SEPS 712/912, ASA SUL, BRASILIA",,kitnet,1700.0,25.0,1.0,,,aluguel,-15.8170813,-47.9172328
"SQS 308 Bloco G, ASA SUL, BRASILIA",,apartamento,14500.0,157.0,3.0,,1.0,aluguel,,
"Avenida São Sebastião, CENTRO, SAO SEBASTIAO",,apartamento,1600.0,58.0,2.0,,,aluguel,-15.9064879,-47.7714075
"SQN 108, ASA NORTE, BRASILIA",,apartamento,5950.0,122.0,3.0,,1.0,aluguel,-15.7635048,-47.8859617
"SQS 411 Bloco D, ASA SUL, BRASILIA",,apartamento,3300.0,55.0,2.0,,,aluguel,,
"QE 40 Conjunto Q, GUARA II, GUARA",,apartamento,800.0,47.0,1.0,,,aluguel,-15.8469821,-47.9730733
"SCRN 708/709 Bloco G, ASA NORTE, BRASILIA",,apartamento,2000.0,42.0,1.0,,,aluguel,-15.7635082,-47.892723
"SGAN 914 Módulo H, ASA NORTE, BRASILIA",,apartamento,1400.0,29.0,1.0,,1.0,aluguel,,
"SQN 314 Bloco H, ASA NORTE, BRASILIA",,apartamento,13500.0,376.0,4.0,,4.0,aluguel,-15.7452883,-47.8953796
"Avenida das Castanheiras, NORTE, AGUAS CLARAS",,apartamento,2500.0,67.0,2.0,,1.0,aluguel,-15.8360494,-48.0195287
"Rua 4, SUL, AGUAS CLARAS",,apartamento,3800.0,88.0,3.0,,1.0,aluguel,-15.8368046,-48.0110054
"SQSW 305, SUDOESTE, BRASILIA",,apartamento,5000.0,82.0,2.0,,1.0,aluguel,-15.8054368,-47.9335081
"Quadra 105, NORTE, AGUAS CLARAS",,apartamento,2300.0,45.0,2.0,,1.0,aluguel,-15.8330159,-48.0127396
"CRNW 510 Bloco B Lote 5, NOROESTE, BRASILIA",,apartamento,5300.0,60.0,2.0,,1.0,aluguel,,
"SQSW 300, SUDOESTE, BRASILIA",,apartamento,23000.0,288.0,3.0,,3.0,aluguel,-15.790541,-47.9171433
"Rua COPAIBA, NORTE, AGUAS CLARAS",,apartamento,2300.0,44.0,1.0,,1.0,aluguel,-15.8342015,-48.0399113
"Quadra 2 Conjunto A 6, SOBRADINHO, SOBRADINHO",,apartamento,1800.0,60.0,2.0,,1.0,aluguel,-15.6598788,-47.8048014
"Rua 24, NORTE, AGUAS CLARAS",,apartamento,3600.0,87.0,3.0,,1.0,aluguel,-11.7131131,-49.1042791
"SHDB QL 32 Conjunto 1, LAGO SUL, BRASILIA",,apartamento,4900.0,120.0,3.0,,2.0,aluguel,,
"SQS 216, ASA SUL, BRASILIA",,apartamento,7300.0,168.0,3.0,,1.0,aluguel,-15.8164055,-47.9080336
"CSG 3, TAGUATINGA SUL, TAGUATINGA",,apartamento,3500.0,45.0,2.0,,1.0,aluguel,-15.8662108,-48.0340308
"Rua 20, SUL, AGUAS CLARAS",,apartamento,1600.0,24.0,1.0,,1.0,aluguel,-15.8418989,-48.0242537
"CLNW 8/9 Lote A, NOROESTE, BRASILIA",,apartamento,2400.0,32.0,1.0,,,aluguel,,
"Alameda dos Eucaliptos Quadra 107, NORTE, AGUAS CLARAS",,apartamento,1650.0,32.0,1.0,,1.0,aluguel,,
"CLSW 301 Bloco A, SUDOESTE, BRASILIA",,apartamento,1750.0,40.0,1.0,,,aluguel,,
"Rua 4 Chacará 6A, VICENTE PIRES, VICENTE PIRES",,apartamento,950.0,33.0,1.0,,,aluguel,-15.8158065,-48.020461
"Quadra 210, SUL, AGUAS CLARAS",,apartamento,5990.0,160.0,3.0,,2.0,aluguel,-29.9198671,-51.0635217
"Rua 8, SUL, AGUAS CLARAS",,apartamento,5500.0,129.0,3.0,,2.0,aluguel,-15.8407051,-48.0264621
