description,address,property_type,price,size,bedrooms,bathrooms,parking_spaces,contract_type,latitude,longitude
"SQNW 105 Bloco D, NOROESTE, BRASILIA",,apartamento,4700.0,292.0,4.0,,4.0,venda,-15.7643017,-47.9088787
"SQNW 103, NOROESTE, BRASILIA",,apartamento,2450.0,169.0,1.0,,3.0,venda,-15.7642039,-47.9088187
"Rua COPAIBANORTE, AGUAS CLARAS",,apartamento,746888.0,62.0,2.0,,,venda,-15.8317475,-48.0391246
"SQSW 103 Bloco I, SUDOESTE, BRASILIA",,apartamento,2050.0,173.0,3.0,,2.0,venda,-15.8026897,-47.9236616
"SQN 209 Bloco I, ASA NORTE, BRASILIA",,apartamento,1040.0,72.0,2.0,,,venda,-15.7590067,-47.8838763
"SQSW 500 Bloco QSUDOESTE, BRASILIA",,apartamento,,175.0,4.0,,,venda,-15.7856059,-47.920991
"Alameda Gravatá Quadra 301 Conjunto 08, NORTE, AGUAS CLARAS",,apartamento,1600.0,200.0,3.0,,2.0,venda,-15.8287622,-48.0132423
"SQNW 304 Bloco ANOROESTE, BRASILIA",,apartamento,5253.0,271.0,4.0,,,venda,-15.76116,-47.9114363
"SQNW 103 Bloco GNOROESTE, BRASILIA",,apartamento,,208.0,3.0,,,venda,-15.7642039,-47.9088187
"SQNW 309 Bloco F, NOROESTE, BRASILIA",,apartamento,2950.0,170.0,4.0,,4.0,venda,-15.746403,-47.9126971
"SQNW 102 Bloco K, NOROESTE, BRASILIA",,apartamento,1995.0,125.0,3.0,,2.0,venda,-15.7671098,-47.9075588
"SQN 113 Bloco JASA NORTE, BRASILIA",,apartamento,,167.0,4.0,,,venda,-15.7474161,-47.8918
"QD 301 Conjunto 06, NORTE, AGUAS CLARAS",,apartamento,420000.0,58.0,2.0,,1.0,venda,-15.8449047,-48.0203451
"SQNW 310, NOROESTE, BRASILIA",,apartamento,1830.0,105.0,3.0,,2.0,venda,-15.7447981,-47.9131549
"SQNW 103 Bloco ANOROESTE, BRASILIA",,apartamento,2049.0,119.0,3.0,,,venda,-15.7647082,-47.9087069
